k_max,omega,L,delta,frac
1,1.0,4.0,3.958004199580042,0.9895010498950105
2,1.0,5.656854249492381,5.6042507653205185,0.9907009299070093
4,1.0,8.0,7.882411758824118,0.9853014698530147
8,1.0,11.313708498984761,10.703960585680813,0.9461053894610538
16,1.0,16.0,13.845015498450156,0.8653134686531347
32,1.0,22.627416997969522,18.30827500725621,0.8091190880911908
64,1.0,32.0,24.71432856714329,0.7723227677232278
128,1.0,45.254833995939045,33.88343135302385,0.7487251274872512
256,1.0,64.0,46.932906709329075,0.7333266673332668
512,1.0,90.50966799187809,65.4319467634515,0.722927707229277
1024,1.0,128.0,91.38286171382862,0.7139286071392861
2048,1.0,181.01933598375618,126.3750628775708,0.6981301869813018
